Title,Subject,Subject Name,Geographic Coverage,Photographer,Year,Caption,longitude,latitude,imageurl
"Student nurses and interns in an operating room, Queen of Angels Hospital, Los Angeles, 1956",Hospitals $z California $z Los Angeles,Queen of Angels Hospital,Los Angeles (Calif.),,1956,Text from newspaper caption: Fast Surgical Care--Student nurses and interns at Queen of Angels Hospitals show how surgery teams will spring into action in regular and improvised operating quarters in the event of a major disaster.,-118.291249,34.095913,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/c1429_b273_98780-1_frame1.jpg
"Geneva Shimp poses with ancient Egyptian glassware at the Natural History Museum, 1935",Vases $x Egyptian $z California $z Los Angeles,"Shimp, Geneva",Los Angeles (Calif.),,1935,"Text from newspaper caption: Fashioned of 4000-year-old glass, this vase with its curious snake handle is one of fifty on display at the Los Angeles Museum. Geneva Shimp is holding the rare vessel.",-118.288798,34.017392,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_9089.jpg
"Councilman Lawrence Klinker and Chief of Police Harold Atkinson inspecting the new traffic signal at Slauson and Soto, Huntington Park, 1936",Traffic signs and signals--California--Los Angeles,"Klinker, Lawrence, $d circa 1896-",Huntington Park (Calif.),,1936,"Text from newspaper caption: Erected and proven successful at one of Huntington Park's major intersections, a traffic signal, built at an extremely low expense, is the product of the inventive mind of Councilman Lawrence Klinker. The Councilman is shown explaining the functioning of the silent guard to Police Chief Harold Atkinson. [Los Angeles Times, 12 Jan 1936: 15]",-118.219325,33.989206,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_12061.jpg
"Troubled teenage girl, Gateways Hospital and Community Mental Health Center, Los Angeles, 1970",Mentally ill--Care--California--Los Angeles County,Gateways Hospital and Community Mental Health Center,Los Angeles (Calif.),"Gunderson, Judd",1970,Text from newspaper caption: End of Her Rope--Troubled teen-ager overwhelmed by problems is near mental breakdown.,-118.2567358,34.08534218,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b644_neg261993_frame1.jpg
"Powell Library tower speakers, UCLA, Los Angeles, 1963",Towers,"University of California, Los Angeles",Los Angeles (Calif.),,1963,"Text from newspaper caption: Electronic Music--UCLA's chime music is not from ""real"" bells, but rather a product of an electronic symphonic carillon.  At left, Jim Smith, university technician, adjusts mechanism inside the console.  Although the sound reaches the campus through hidden speakers in the library tower, center, the music is actually played in a small basement room of Schoenberg Hall.""",-118.4420545,34.07214017,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_b502_218954_Powell-tower-with-speakers-03-17-1969.jpg
"Jim Smith, UCLA University Technician, Los Angeles, 1963",Technical services (Libraries)--California--Los Angeles County,"University of California, Los Angeles",Los Angeles (Calif.),,1963,"Text from newspaper caption: Electronic Music--UCLA's chime music is not from ""real"" bells, but rather a product of an electronic symphonic carillon.  At left, Jim Smith, university technician, adjusts mechanism inside the console.  Although the sound reaches the campus through hidden speakers in the library tower, center, the music is actually played in a small basement room of Schoenberg Hall.",-118.4400723,34.07072054,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_b502_n218954_Jim_Smith_university-techinician-adjusts-UCLA-chrime-03-17-1969.jpg
"Prince Ucon ingests various metalworks, Lincoln Heights, 1936",Prisoners $z California $z Lincoln Heights,"Ucon, Prince, $d b. 1894","Lincoln Heights (Los Angeles, Calif.)",,1936,"Text from newspaper caption: Disdaining jail fare of morning mush, Prince Ucon, arrested for vagrancy, demanded a heavy diet of nuts and bolts. As he sat gulping down the iron diet a police officer offered his gun to the Prince for dessert.",-118.224875,34.077472,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_12429.jpg
"David L. Hutton, estranged husband of Aimee Semple McPherson, takes his piano from the Angelus Temple, Los Angeles, 1933",Pianos,"Hutton, David L., $d 1901-1985",Los Angeles (Calif.),,1933,"Text from newspaper caption: David Shows 'em He Can Take It. Moving Scene Put at Temple. Hutton poses, piano in hand, after taking it from Bible School Building with aid of his father, David L. Hutton, Sr.",-118.260545,34.075776,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10574.jpg
"Alice Sanceda, Carlos Figueroa and Bertha Perez celebrate, Olvera Street, Los Angeles, 1936",Celebrations $z California $z Los Angeles,"Figueroa, Carlos","Olvera Street (Los Angeles, Calif.)",,1936,"Text from newspaper caption: Dancing is as much a part of an Olvera street fiesta as sugar is of candy. Here are, left to right, Alice Sanceda, Carlos Figueroa and Bertha Perez, who danced at the celebration yesterday.",-118.237868,34.056736,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_13966.jpg
"Crown Prince Gustav Adolf and Crown Princess Louise of Sweden with Mayor George Cryer at the Central Library, Los Angeles, 1926",Mayors $z California $z Los Angeles,"Cryer, George E., 1875-1961",Los Angeles (Calif.),,1926,"Text from newspaper caption: Crown Princess Louise, Mayor Cryer and Crown Prince [Los Angeles Times, 23 Jul. 1926]",-118.255098,34.050788,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_3195.jpg
"MMC Pauline Spinner teaching Marion Harley and Ethel Churchill about styling hair, Los Angeles, 1935",Women $z California $z Los Angeles,"Spinner, Pauline",Los Angeles (Calif.),,1935,"Text from newspaper caption: Cosmetology, the study of beauty work, was on the curriculum.  Pictured beneath the driers are Marion Harley, left, and Ethel Churchill.  Pauline Spinner is the teacher.",-118.269903,34.032734,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_8203.jpg
"Nurses answering phones, California Hospital, Los Angeles, 1956",Telephone operators--California--Los Angeles County,California Hospital Medical Center,Los Angeles (Calif.),,1956,Text from newspaper caption: Communications--Setting up emergency communications center is demonstrated at California Hospital.  Messengers will be utilized in hospital while phones maintain contact with defense units.,-118.2657921,34.03750229,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/c1429_b273_98780-4_DC761.jpg
"Navy Commander Herbert A. Jones with Judge Marchall McComb at an American Legion dinner, Downtown Los Angeles, 1934",Military officers $x American $z California $z Los Angeles,"McComb, Marshall F. $q (Marshall Francis), $d 1894-1981","Downtown (Los Angeles, Calif.)",,1934,"Text from newspaper caption: Commander Herbert A. Jones [Los Angeles Times, 24 Oct. 1934: A1]",-118.251384,34.046041,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_5254.jpg
"German Otto Peltzer trains on the track at the Coliseum, Los Angeles, 1928",Track athletics $z California $z Los Angeles,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),,1928,"Text from newspaper caption: Coming and Going; two views of the famous German half-miler. Dr. Otto Von Peltzer, who holds the world's record for the distance and has defeated Edvin Wide and Paavo Nurmi over the 1500-meter route. These photos were taken by F. M. Litchfield, Times staff photographer, at the Coliseum track yesterday while the foreign star was tuning up for a possible attempt on his 880-yard record next week.  [Los Angeles Times, 12 Jan. 1928: pg. B1.]",-118.287199,34.014036,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_4397.jpg
"Coach barn, Rancho Santa Anita, Arcadia, 1938",Carriage houses $z California $z Arcadia,Arboretum of Los Angeles County,Arcadia (Calif.),,1938,"Text from newspaper caption: COACH BARN, where Baldwin kept his coach horses, tally-ho, and fine carriages.  Built in 1879.",-118.055221,34.14079665,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_0298.jpg
"Glendale bridge destroyed by storm flooding in the Los Angeles River, Los Angeles, 1927",Storms $z California $z Los Angeles,,Los Angeles (Calif.),,1927,Text from newspaper caption: Close-up of the torrent which swept out portion of Glendale bridge. Debris of all sorts rode the flood down. (Times photo.) Los Angeles Times 17 Feb. 1927: A3].,-118.265655,34.113386,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_2382.jpg
